TestCaseID,Edge1,Edge2,Edge3,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,0,100,100,边长数值越界,边长数值越界,TRUE,2022/6/19 21:13:10,RQD、fuyang
2,1,100,100,该三角形是等腰三角形,该三角形是等腰三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
3,100,100,100,该三角形是等边三角形,该三角形是等边三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
4,199,100,100,该三角形是等腰三角形,该三角形是等腰三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
5,200,100,100,所给三边数据不能构成三角形,所给三边数据不能构成三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
6,100,0,100,边长数值越界,边长数值越界,TRUE,2022/6/19 21:13:10,RQD、fuyang
7,100,1,100,该三角形是等腰三角形,该三角形是等腰三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
8,100,199,100,该三角形是等腰三角形,该三角形是等腰三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
9,100,200,100,所给三边数据不能构成三角形,所给三边数据不能构成三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
10,100,100,0,边长数值越界,边长数值越界,TRUE,2022/6/19 21:13:10,RQD、fuyang
11,100,100,1,该三角形是等腰三角形,该三角形是等腰三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
12,100,100,199,该三角形是等腰三角形,该三角形是等腰三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
13,100,100,200,所给三边数据不能构成三角形,所给三边数据不能构成三角形,TRUE,2022/6/19 21:13:10,RQD、fuyang
