TestCaseID,Edge1,Edge2,Edge3,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,0,100,100,数据非法，边长数值越界,数据非法，边长数值越界,TRUE,2022/3/16 21:46,RQD、fuyang
2,1,100,100,该三角形的是等腰三角形,该三角形的是等腰三角形,TRUE,2022/3/16 21:46,RQD、fuyang
3,-1,100,100,数据非法，边长数值越界,数据非法，边长数值越界,TRUE,2022/3/16 21:46,RQD、fuyang
4,100,100,100,该三角形的是等边三角形,该三角形的是等边三角形,TRUE,2022/3/16 21:46,RQD、fuyang
5,199,100,100,该三角形的是等腰三角形,该三角形的是等腰三角形,TRUE,2022/3/16 21:46,RQD、fuyang
6,200,100,100,所给三边数据不能构成三角形,所给三边数据不能构成三角形,TRUE,2022/3/16 21:46,RQD、fuyang
7,201,100,100,数据非法，边长数值越界,数据非法，边长数值越界,TRUE,2022/3/16 21:46,RQD、fuyang
8,100,0,100,数据非法，边长数值越界,数据非法，边长数值越界,TRUE,2022/3/16 21:46,RQD、fuyang
9,100,1,100,该三角形的是等腰三角形,该三角形的是等腰三角形,TRUE,2022/3/16 21:46,RQD、fuyang
10,100,-1,100,数据非法，边长数值越界,数据非法，边长数值越界,TRUE,2022/3/16 21:46,RQD、fuyang
11,100,199,100,该三角形的是等腰三角形,该三角形的是等腰三角形,TRUE,2022/3/16 21:46,RQD、fuyang
12,100,200,100,所给三边数据不能构成三角形,所给三边数据不能构成三角形,TRUE,2022/3/16 21:46,RQD、fuyang
13,100,201,100,数据非法，边长数值越界,数据非法，边长数值越界,TRUE,2022/3/16 21:46,RQD、fuyang
14,100,100,0,数据非法，边长数值越界,数据非法，边长数值越界,TRUE,2022/3/16 21:46,RQD、fuyang
15,100,100,1,该三角形的是等腰三角形,该三角形的是等腰三角形,TRUE,2022/3/16 21:46,RQD、fuyang
16,100,100,-1,数据非法，边长数值越界,数据非法，边长数值越界,TRUE,2022/3/16 21:46,RQD、fuyang
17,100,100,199,该三角形的是等腰三角形,该三角形的是等腰三角形,TRUE,2022/3/16 21:46,RQD、fuyang
18,100,100,200,所给三边数据不能构成三角形,所给三边数据不能构成三角形,TRUE,2022/3/16 21:46,RQD、fuyang
19,100,100,201,数据非法，边长数值越界,数据非法，边长数值越界,TRUE,2022/3/16 21:46,RQD、fuyang
